scheme_name,Scheme Codes,expense_ratio,risk_level,returns_1yr,returns_3yr,returns_5yr,Sub_Category,NAV,fund_description,embedding_index
Franklin India Dynamic Asset Allocation FoFs-Dir-G,100482,0.46,0.3,5.9,18.2,9.2,FoFs Domestic,35.0549,Franklin India Dynamic Asset Allocation FoFs-Dir-G - FoFs Domestic,151
Franklin India Equity Advantage Fund,100483,1.37,0.5,-0.9,27.7,9.2,Large & Mid Cap Funds,34.7349,Franklin India Equity Advantage Fund - Large & Mid Cap Funds,152
Franklin India Equity Hybrid Fund,100484,1.2,0.5,5.3,22.5,11.0,Aggressive Hybrid Mutual Funds,181.037,Franklin India Equity Hybrid Fund - Aggressive Hybrid Mutual Funds,153
Franklin India Flexi Cap Fund,100485,1.1,0.5,3.8,31.1,12.0,Flexi Cap Funds,0.0,Franklin India Flexi Cap Fund - Flexi Cap Funds,154
Franklin India Floating Rate Fund,100486,0.21,0.1,5.8,5.6,6.2,Floater Mutual Funds,0.0,Franklin India Floating Rate Fund - Floater Mutual Funds,155
Franklin India Focused Equity Fund,100487,1.16,0.5,5.1,30.9,12.9,Focused Funds,0.0,Franklin India Focused Equity Fund - Focused Funds,156
Franklin India G-Sec Fund,100489,0.57,0.2,3.5,4.1,6.3,Gilt Mutual Funds,0.0,Franklin India G-Sec Fund - Gilt Mutual Funds,157
Franklin India Liquid Fund,100490,0.13,0.1,5.6,4.3,5.4,Liquid Mutual Funds,0.0,Franklin India Liquid Fund - Liquid Mutual Funds,158
Franklin India Multi-Asset Solution Fund,100491,0.44,0.3,4.1,8.7,5.3,FoFs Domestic,0.0,Franklin India Multi-Asset Solution Fund - FoFs Domestic,159
Franklin India NSE Nifty 50 Index Fund,100493,0.24,0.5,0.9,25.6,11.6,Index Funds,57.2521,Franklin India NSE Nifty 50 Index Fund - Index Funds,160
Franklin India Opportunities Fund,100494,1.79,0.5,7.9,31.0,11.5,Sectoral / Thematic Mutual Funds,10.7689,Franklin India Opportunities Fund - Sectoral / Thematic Mutual Funds,161
Franklin India Prima Fund,100495,1.06,0.5,4.5,26.6,10.0,Mid Cap Mutual Funds,0.0,Franklin India Prima Fund - Mid Cap Mutual Funds,162
Franklin India Savings Fund,100498,0.1,0.1,5.3,5.2,6.1,Money Market Funds,15.6675,Franklin India Savings Fund - Money Market Funds,163
Franklin India Smaller Companies Fund,100499,1.03,0.5,10.5,38.8,11.2,Small Cap Mutual Funds,94.788,Franklin India Smaller Companies Fund - Small Cap Mutual Funds,164
Franklin India Taxshield – Direct Growth,100503,1.12,0.5,4.9,29.3,11.4,ELSS Mutual Funds,15.0351,Franklin India Taxshield – Direct Growth - ELSS Mutual Funds,165
Franklin India Technology Fund,100504,1.22,0.5,-11.9,29.9,15.9,Sectoral / Thematic Mutual Funds,14.7667,Franklin India Technology Fund - Sectoral / Thematic Mutual Funds,166
HDFC Arbitrage Fund,100119,0.43,0.0,5.6,4.5,5.2,Arbitrage Mutual Funds,476.463,HDFC Arbitrage Fund - Arbitrage Mutual Funds,167
HDFC Balanced Advantage Fund,100120,0.88,0.5,14.4,29.3,12.9,Dynamic Asset Allocation or Balanced Advantage,36.96,HDFC Balanced Advantage Fund - Dynamic Asset Allocation or Balanced Advantage,168
HDFC Banking and PSU Debt Fund,100121,0.39,0.1,4.3,6.8,7.2,Banking and PSU Mutual Funds,30.651,HDFC Banking and PSU Debt Fund - Banking and PSU Mutual Funds,169
HDFC Capital Builder Value Fund,100122,1.04,0.5,-0.7,33.7,11.3,Value Funds,147.069,HDFC Capital Builder Value Fund - Value Funds,170
HDFC Children’s Gift Fund,100123,0.96,0.5,10.5,26.8,12.9,Childrens Funds,11.444,HDFC Children’s Gift Fund - Childrens Funds,171
HDFC Corporate Bond Fund,100124,0.32,0.2,4.1,6.9,7.3,Corporate Bond Mutual Funds,56.3488,HDFC Corporate Bond Fund - Corporate Bond Mutual Funds,172
HDFC Credit Risk Debt Fund,100282,0.95,0.3,4.6,8.0,7.7,Credit Risk Funds,10.0017,HDFC Credit Risk Debt Fund - Credit Risk Funds,173
HDFC Dynamic Debt Fund,100283,0.49,0.2,4.6,7.3,6.1,Dynamic Bond,10.0017,HDFC Dynamic Debt Fund - Dynamic Bond,174
HDFC Dynamic PE Ratio Fund,100284,0.22,0.4,8.6,21.9,11.1,FoFs Domestic,10.0017,HDFC Dynamic PE Ratio Fund - FoFs Domestic,175
HDFC Equity Savings Fund,100285,1.1,0.3,5.1,16.0,8.8,Equity Savings Mutual Funds,10.0017,HDFC Equity Savings Fund - Equity Savings Mutual Funds,176
HDFC Flexi Cap Fund,100868,1.0,0.5,12.4,34.5,14.0,Flexi Cap Funds,5011.397,HDFC Flexi Cap Fund - Flexi Cap Funds,177
HDFC Floating Rate Debt Fund,100869,0.26,0.2,5.6,6.5,6.9,Floater Mutual Funds,0.0,HDFC Floating Rate Debt Fund - Floater Mutual Funds,178
HDFC Focused 30 Fund,100870,0.54,0.5,16.0,35.8,11.9,Focused Funds,0.0,HDFC Focused 30 Fund - Focused Funds,179
HDFC Gilt Fund,100871,0.46,0.2,3.6,4.9,6.4,Gilt Mutual Funds,0.0,HDFC Gilt Fund - Gilt Mutual Funds,180
HDFC Gold Fund,100872,0.18,0.4,14.2,12.3,13.4,FoFs Domestic,10.0,HDFC Gold Fund - FoFs Domestic,181
HDFC Housing Opportunities Fund,100873,1.28,0.5,9.8,27.1,7.9,Sectoral / Thematic Mutual Funds,3764.8175,HDFC Housing Opportunities Fund - Sectoral / Thematic Mutual Funds,182
HDFC Hybrid Debt Fund,100874,1.33,0.3,6.0,13.3,8.4,Conservative Hybrid Mutual Funds,1031.5907,HDFC Hybrid Debt Fund - Conservative Hybrid Mutual Funds,183
HDFC Hybrid Equity Fund,100875,1.09,0.5,7.7,25.6,11.3,Aggressive Hybrid Mutual Funds,1019.82,HDFC Hybrid Equity Fund - Aggressive Hybrid Mutual Funds,184
HDFC Income Fund,100876,0.51,0.2,3.8,5.2,6.1,Medium to Long Duration Funds,1028.1012,HDFC Income Fund - Medium to Long Duration Funds,185
HDFC Index Fund,100877,0.2,0.5,2.4,25.8,12.8,Index Funds,1225.98,HDFC Index Fund - Index Funds,186
HDFC Index Fund,100878,0.2,0.5,0.9,26.0,12.0,Index Funds,10.0,HDFC Index Fund - Index Funds,187
HDFC Infrastructure Fund,100881,1.75,0.5,16.5,34.3,5.3,Sectoral / Thematic Mutual Funds,10.0,HDFC Infrastructure Fund - Sectoral / Thematic Mutual Funds,188
HDFC Large and Mid Cap Fund,100899,1.03,0.5,6.3,33.3,12.8,Large & Mid Cap Funds,44.0722,HDFC Large and Mid Cap Fund - Large & Mid Cap Funds,189
HDFC Liquid Fund,100900,0.2,0.1,5.6,4.3,5.3,Liquid Mutual Funds,267.549,HDFC Liquid Fund - Liquid Mutual Funds,190
HDFC Low Duration Fund,100997,0.43,0.1,5.4,6.2,6.7,Low Duration Funds,51.722,HDFC Low Duration Fund - Low Duration Funds,191
HDFC Medium Term Debt Fund,100998,0.58,0.3,4.1,6.9,7.4,Medium Duration Funds,595.168,HDFC Medium Term Debt Fund - Medium Duration Funds,192
HDFC Mid-Cap Opportunities Fund,101081,0.95,0.5,11.9,34.2,13.1,Mid Cap Mutual Funds,11.194,HDFC Mid-Cap Opportunities Fund - Mid Cap Mutual Funds,193
HDFC Money Market Fund,101082,0.21,0.2,5.6,5.6,6.3,Money Market Funds,28.4412,HDFC Money Market Fund - Money Market Funds,194
HDFC Multi-Asset Fund,101083,0.88,0.5,6.9,23.0,10.9,Multi Asset Allocation Mutual Funds,53.7151,HDFC Multi-Asset Fund - Multi Asset Allocation Mutual Funds,195
HDFC Overnight Fund,101084,0.1,0.0,5.3,3.8,4.6,Overnight Mutual Funds,12.1808,HDFC Overnight Fund - Overnight Mutual Funds,196
HDFC Retirement Savings Fund,101281,0.78,0.5,11.6,34.9,14.8,Retirement Funds,684.6159,HDFC Retirement Savings Fund - Retirement Funds,197
HDFC Retirement Savings Fund,101282,1.03,0.5,8.0,24.5,12.3,Retirement Funds,462.5623,HDFC Retirement Savings Fund - Retirement Funds,198
HDFC Retirement Savings Fund,101430,1.0,0.3,6.0,10.3,7.8,Retirement Funds,34.4886,HDFC Retirement Savings Fund - Retirement Funds,199
HDFC Short Term Debt Fund,101431,0.29,0.2,4.7,7.0,7.3,Short Duration Funds,10.3806,HDFC Short Term Debt Fund - Short Duration Funds,200
HDFC Small Cap Fund,101480,0.8,0.5,12.5,43.5,13.5,Small Cap Mutual Funds,0.0,HDFC Small Cap Fund - Small Cap Mutual Funds,201
HDFC Tax Saver Fund,101481,1.15,0.5,10.0,31.0,10.3,ELSS Mutual Funds,31.6659,HDFC Tax Saver Fund - ELSS Mutual Funds,202
HDFC Top 100 Fund,101482,1.11,0.5,6.6,28.6,11.9,Large Cap Mutual Funds,10.1483,HDFC Top 100 Fund - Large Cap Mutual Funds,203
HSBC Aggressive Hybrid Fund,101593,0.87,0.5,-1.2,19.5,8.1,Aggressive Hybrid Mutual Funds,41.2465,HSBC Aggressive Hybrid Fund - Aggressive Hybrid Mutual Funds,204
HSBC Arbitrage Fund,101594,0.29,0.0,5.4,4.7,5.5,Arbitrage Mutual Funds,424.1677,HSBC Arbitrage Fund - Arbitrage Mutual Funds,205
HSBC Balanced Advantage Fund,101597,0.78,0.3,3.5,13.4,8.0,Dynamic Asset Allocation or Balanced Advantage,17.9603,HSBC Balanced Advantage Fund - Dynamic Asset Allocation or Balanced Advantage,206
HSBC Banking and PSU Debt Fund,101598,0.23,0.2,2.2,6.0,6.5,Banking and PSU Mutual Funds,11.9407,HSBC Banking and PSU Debt Fund - Banking and PSU Mutual Funds,207
HSBC Business Cycles Fund,101599,1.42,0.5,7.0,28.0,8.7,Sectoral / Thematic Mutual Funds,32.6785,HSBC Business Cycles Fund - Sectoral / Thematic Mutual Funds,208
HSBC Conservative Hybrid Fund,101600,1.34,0.3,2.3,10.3,7.5,Conservative Hybrid Mutual Funds,11.808,HSBC Conservative Hybrid Fund - Conservative Hybrid Mutual Funds,209
HSBC Corporate Bond Fund,101685,0.35,0.1,1.7,32.4,13.3,Corporate Bond Mutual Funds,40.8217,HSBC Corporate Bond Fund - Corporate Bond Mutual Funds,210
HSBC Corporate Bond Fund,101686,0.29,0.2,3.3,6.6,7.6,Corporate Bond Mutual Funds,10.7726,HSBC Corporate Bond Fund - Corporate Bond Mutual Funds,211
HSBC Credit Risk Fund,101687,0.85,0.3,4.8,5.7,5.1,Credit Risk Funds,10.0,HSBC Credit Risk Fund - Credit Risk Funds,212
HSBC Dynamic Bond Fund,101688,0.29,0.2,4.7,5.4,6.8,Dynamic Bond,10.0,HSBC Dynamic Bond Fund - Dynamic Bond,213
HSBC ELSS Fund,101691,1.16,0.5,-1.2,24.1,8.0,ELSS Mutual Funds,18.2843,HSBC ELSS Fund - ELSS Mutual Funds,214
HSBC Equity Hybrid Fund,101692,1.0,0.5,1.7,32.4,13.3,Aggressive Hybrid Mutual Funds,10.6372,HSBC Equity Hybrid Fund - Aggressive Hybrid Mutual Funds,215
HSBC Equity Savings Fund,101693,0.62,0.2,2.9,15.5,7.5,Equity Savings Mutual Funds,10.0,HSBC Equity Savings Fund - Equity Savings Mutual Funds,216
HSBC Flexi Cap Fund,101694,1.23,0.5,-1.2,26.4,9.2,Flexi Cap Funds,10.0,HSBC Flexi Cap Fund - Flexi Cap Funds,217
HSBC Flexi Debt Fund,101696,0.94,0.2,1.7,32.4,13.3,Dynamic Bond,17.977,HSBC Flexi Debt Fund - Dynamic Bond,218
HSBC Gilt Fund,101697,0.48,0.2,5.0,5.4,7.1,Gilt Mutual Funds,10.193,HSBC Gilt Fund - Gilt Mutual Funds,219
HSBC Infrastructure Fund,101698,1.14,0.5,11.3,33.6,9.3,Sectoral / Thematic Mutual Funds,10.0314,HSBC Infrastructure Fund - Sectoral / Thematic Mutual Funds,220
HSBC Large Cap Fund,101699,1.26,0.5,0.0,23.3,10.6,Large Cap Mutual Funds,11.4467,HSBC Large Cap Fund - Large Cap Mutual Funds,221
HSBC Liquid Fund,101700,0.12,0.1,5.7,4.3,5.3,Liquid Mutual Funds,10.0056,HSBC Liquid Fund - Liquid Mutual Funds,222
HSBC Low Duration Fund,101701,0.25,0.1,5.2,5.6,5.8,Low Duration Funds,11.1231,HSBC Low Duration Fund - Low Duration Funds,223
HSBC Managed Solutions Conservative Fund,101702,0.54,0.2,3.2,6.7,5.9,FoFs Domestic,10.0651,HSBC Managed Solutions Conservative Fund - FoFs Domestic,224
HSBC Managed Solutions Growth Fund,102065,1.06,0.5,0.6,22.2,9.2,FoFs Domestic,16.2943,HSBC Managed Solutions Growth Fund - FoFs Domestic,225
HSBC Managed Solutions Moderate Fund,102066,0.76,0.4,1.2,19.0,8.7,FoFs Domestic,18.4778,HSBC Managed Solutions Moderate Fund - FoFs Domestic,226
HSBC Medium Duration Fund,102251,0.4,0.2,4.2,7.0,6.7,Medium Duration Funds,38.6658,HSBC Medium Duration Fund - Medium Duration Funds,227
HSBC Medium to Long Duration Fund,102252,0.68,0.2,2.7,4.5,6.5,Medium to Long Duration Funds,188.3769,HSBC Medium to Long Duration Fund - Medium to Long Duration Funds,228
HSBC Midcap Fund,102257,0.74,0.5,2.3,26.1,8.8,Mid Cap Mutual Funds,11.8518,HSBC Midcap Fund - Mid Cap Mutual Funds,229
HSBC Money Market Fund,102258,0.25,0.1,5.2,4.9,6.0,Money Market Funds,12.0093,HSBC Money Market Fund - Money Market Funds,230
HSBC Short Duration Fund,102259,0.27,0.1,3.8,6.0,6.7,Short Duration Funds,27.2446,HSBC Short Duration Fund - Short Duration Funds,231
HSBC Small Cap Fund,102260,0.77,0.5,5.1,44.7,12.7,Small Cap Mutual Funds,12.9179,HSBC Small Cap Fund - Small Cap Mutual Funds,232
HSBC Tax Saver Equity Fund,102261,1.3,0.5,-2.2,24.7,8.9,ELSS Mutual Funds,17.1844,HSBC Tax Saver Equity Fund - ELSS Mutual Funds,233
HSBC Value Fund,102262,0.84,0.5,6.8,33.0,11.6,Value Funds,57.5244,HSBC Value Fund - Value Funds,234
ICICI Pru All Seasons Bond Fund,100348,0.62,0.2,6.5,7.5,8.2,Dynamic Bond,28.66,ICICI Pru All Seasons Bond Fund - Dynamic Bond,235
ICICI Pru Asset Allocator Fund,100349,0.18,0.3,8.8,21.6,12.8,FoFs Domestic,895.65,ICICI Pru Asset Allocator Fund - FoFs Domestic,236
ICICI Pru Balanced Advantage Fund,100350,0.91,0.4,6.7,19.7,10.4,Dynamic Asset Allocation or Balanced Advantage,32.76,ICICI Pru Balanced Advantage Fund - Dynamic Asset Allocation or Balanced Advantage,237
ICICI Pru Banking & Financial Services – DirectGrowth,100351,1.1,0.5,7.0,24.9,9.7,Sectoral / Thematic Mutual Funds,82.04,ICICI Pru Banking & Financial Services – DirectGrowth - Sectoral / Thematic Mutual Funds,238
ICICI Pru Banking & PSU Debt Fund,100352,0.38,0.1,5.8,6.9,7.2,Banking and PSU Mutual Funds,443.9,ICICI Pru Banking & PSU Debt Fund - Banking and PSU Mutual Funds,239
ICICI Pru Bluechip Fund,100353,1.06,0.5,4.4,28.2,12.3,Large Cap Mutual Funds,22.59,ICICI Pru Bluechip Fund - Large Cap Mutual Funds,240
ICICI Pru Bond Fund,100354,0.6,0.2,5.2,6.9,7.3,Medium to Long Duration Funds,823.03,ICICI Pru Bond Fund - Medium to Long Duration Funds,241
ICICI Pru Child Care Fund,100355,1.69,0.5,1.0,19.8,8.8,Childrens Funds,40.1,ICICI Pru Child Care Fund - Childrens Funds,242
ICICI Pru Corporate Bond Fund,100356,0.3,0.1,5.8,7.0,7.3,Corporate Bond Mutual Funds,354.32,ICICI Pru Corporate Bond Fund - Corporate Bond Mutual Funds,243
ICICI Pru Credit Risk Fund,100357,0.86,0.3,5.8,8.0,8.1,Credit Risk Funds,101.4288,ICICI Pru Credit Risk Fund - Credit Risk Funds,244
ICICI Pru Debt Management Fund,100358,0.41,0.2,5.8,6.7,7.0,FoFs Domestic,100.1178,ICICI Pru Debt Management Fund - FoFs Domestic,245
ICICI Pru Dividend Yield Equity Fund,100359,0.66,0.5,8.5,37.6,12.1,Dividend Yield Funds,118.5152,ICICI Pru Dividend Yield Equity Fund - Dividend Yield Funds,246
ICICI Pru Equity & Debt Fund,100360,1.2,0.5,6.8,30.6,14.3,Aggressive Hybrid Mutual Funds,118.7538,ICICI Pru Equity & Debt Fund - Aggressive Hybrid Mutual Funds,247
ICICI Pru Equity – Arbitrage Fund,100361,0.39,0.0,5.6,4.8,5.5,Arbitrage Mutual Funds,100.4302,ICICI Pru Equity – Arbitrage Fund - Arbitrage Mutual Funds,248
ICICI Pru Equity Savings Fund,100362,0.54,0.1,6.2,12.7,7.9,Equity Savings Mutual Funds,310.9995,ICICI Pru Equity Savings Fund - Equity Savings Mutual Funds,249
ICICI Pru Exports and Services Fund,100363,1.76,0.5,5.7,30.7,11.4,Sectoral / Thematic Mutual Funds,190.86,ICICI Pru Exports and Services Fund - Sectoral / Thematic Mutual Funds,250
ICICI Pru Floating Interest Fund,100364,0.62,0.1,6.3,7.0,7.2,Floater Mutual Funds,11.1771,ICICI Pru Floating Interest Fund - Floater Mutual Funds,251
ICICI Pru FMCG Fund,100365,1.44,0.5,21.1,24.5,13.5,Sectoral / Thematic Mutual Funds,86.9919,ICICI Pru FMCG Fund - Sectoral / Thematic Mutual Funds,252
ICICI Pru Focused Equity Fund,100366,0.59,0.5,6.1,31.2,13.4,Focused Funds,11.7562,ICICI Pru Focused Equity Fund - Focused Funds,253
ICICI Pru Gilt Fund,100367,0.56,0.2,6.3,6.7,8.4,Gilt Mutual Funds,12.4248,ICICI Pru Gilt Fund - Gilt Mutual Funds,254
ICICI Pru Income Optimizer Fund,100368,0.26,0.2,7.8,13.3,8.8,FoFs Domestic,18.4639,ICICI Pru Income Optimizer Fund - FoFs Domestic,255
ICICI Pru Infrastructure Fund,100369,1.64,0.5,24.3,44.0,15.1,Sectoral / Thematic Mutual Funds,99.3008,ICICI Pru Infrastructure Fund - Sectoral / Thematic Mutual Funds,256
ICICI Pru Large & Mid Cap Fund,100370,1.09,0.5,9.5,33.2,13.7,Large & Mid Cap Funds,12.1349,ICICI Pru Large & Mid Cap Fund - Large & Mid Cap Funds,257
ICICI Pru Liquid Fund,100371,0.2,0.2,5.6,4.3,5.3,Liquid Mutual Funds,43.635,ICICI Pru Liquid Fund - Liquid Mutual Funds,258
ICICI Pru Long Term Equity Fund,100372,1.23,0.5,-0.2,27.1,11.5,ELSS Mutual Funds,11.2589,ICICI Pru Long Term Equity Fund - ELSS Mutual Funds,259
ICICI Pru Long Term Wealth Enhancement Fund,100952,0.97,0.5,-0.7,33.7,11.3,ELSS Mutual Funds,48.1366,ICICI Pru Long Term Wealth Enhancement Fund - ELSS Mutual Funds,260
ICICI Pru Medium Term Bond Fund,100953,0.77,0.3,5.6,7.7,7.6,Medium Duration Funds,12.3602,ICICI Pru Medium Term Bond Fund - Medium Duration Funds,261
ICICI Pru MidCap Fund,100954,1.16,0.5,3.9,32.9,11.1,Mid Cap Mutual Funds,13.5226,ICICI Pru MidCap Fund - Mid Cap Mutual Funds,262
ICICI Pru Money Market Fund,100955,0.21,0.2,5.5,5.4,6.1,Money Market Funds,12.8248,ICICI Pru Money Market Fund - Money Market Funds,263
ICICI Pru Multi-Asset Fund,101098,1.15,0.5,11.3,31.3,14.2,Multi Asset Allocation Mutual Funds,69.6122,ICICI Pru Multi-Asset Fund - Multi Asset Allocation Mutual Funds,264
ICICI Pru Multicap Fund,101127,1.02,0.5,5.7,29.1,11.8,Multi Cap Funds,288.92,ICICI Pru Multicap Fund - Multi Cap Funds,265
ICICI Pru Nifty 50 Index Fund,101143,0.17,0.5,0.9,26.1,11.9,Index Funds,32.2289,ICICI Pru Nifty 50 Index Fund - Index Funds,266
ICICI Pru Nifty Next 50 Index Fund,101144,0.3,0.5,-6.4,22.0,6.1,Index Funds,700.1048,ICICI Pru Nifty Next 50 Index Fund - Index Funds,267
ICICI Pru Passive Strategy Fund,101165,0.06,0.5,4.9,26.3,10.9,FoFs Domestic,12.0755,ICICI Pru Passive Strategy Fund - FoFs Domestic,268
ICICI Pru Regular Gold Savings Fund,101221,0.09,0.4,14.3,11.7,13.1,FoFs Domestic,306.6704,ICICI Pru Regular Gold Savings Fund - FoFs Domestic,269
ICICI Pru Regular Savings Fund,101228,0.99,0.3,5.5,11.3,9.0,Conservative Hybrid Mutual Funds,708.13,ICICI Pru Regular Savings Fund - Conservative Hybrid Mutual Funds,270
ICICI Pru Retirement Fund,101229,1.12,0.5,1.7,32.4,13.3,Retirement Funds,12.6927,ICICI Pru Retirement Fund - Retirement Funds,271
ICICI Pru S&P BSE Sensex Index Fund,101230,0.16,0.5,1.4,25.8,12.9,Index Funds,12.8807,ICICI Pru S&P BSE Sensex Index Fund - Index Funds,272
ICICI Pru Savings Fund,101231,0.4,0.1,5.7,6.2,6.7,Low Duration Funds,43.8071,ICICI Pru Savings Fund - Low Duration Funds,273
ICICI Pru Short Term Fund,101349,0.39,0.2,6.4,7.5,7.7,Short Duration Funds,225.613,ICICI Pru Short Term Fund - Short Duration Funds,274
ICICI Pru Smallcap Fund,101350,0.81,0.5,7.7,41.8,14.9,Small Cap Mutual Funds,49.3216,ICICI Pru Smallcap Fund - Small Cap Mutual Funds,275
ICICI Pru Technology Fund,101351,0.99,0.5,-19.7,45.3,21.6,Sectoral / Thematic Mutual Funds,10.8879,ICICI Pru Technology Fund - Sectoral / Thematic Mutual Funds,276
ICICI Pru Thematic Advantage Fund,101617,0.25,0.5,5.4,35.4,14.6,FoFs Domestic,105.4707,ICICI Pru Thematic Advantage Fund - FoFs Domestic,277
ICICI Pru Ultra Short Term Fund,101618,0.39,0.2,5.7,5.9,6.7,Ultra Short Duration Funds,105.7358,ICICI Pru Ultra Short Term Fund - Ultra Short Duration Funds,278
ICICI Pru Value Discovery Fund,101619,1.22,0.5,8.9,36.9,14.9,Value Funds,528.4235,ICICI Pru Value Discovery Fund - Value Funds,279
IDBI Credit Risk Fund,113062,0.61,0.3,4.3,11.3,3.7,Credit Risk Funds,34.5711,IDBI Credit Risk Fund - Credit Risk Funds,280
IDBI Equity Advantage Fund,113063,1.21,0.5,-0.7,33.7,11.3,ELSS Mutual Funds,36.2325,IDBI Equity Advantage Fund - ELSS Mutual Funds,281
IDBI Equity Savings Fund,113096,1.15,0.3,2.5,11.8,7.2,Equity Savings Mutual Funds,2453.6952,IDBI Equity Savings Fund - Equity Savings Mutual Funds,282
IDBI Focused 30 Equity Fund,113102,1.61,0.5,0.1,25.2,10.2,Focused Funds,1005.2683,IDBI Focused 30 Equity Fund - Focused Funds,283
IDBI Gold Fund,113103,0.26,0.4,15.0,12.1,12.9,FoFs Domestic,1023.7528,IDBI Gold Fund - FoFs Domestic,284
IDBI Hybrid Equity Fund,113104,1.67,0.5,-1.8,17.5,7.0,Aggressive Hybrid Mutual Funds,1004.0142,IDBI Hybrid Equity Fund - Aggressive Hybrid Mutual Funds,285
IDBI India Top 100 Equity Fund,113249,1.26,0.5,0.5,26.0,12.4,Large Cap Mutual Funds,33.3456,IDBI India Top 100 Equity Fund - Large Cap Mutual Funds,286
IDBI Liquid Fund,113250,0.13,0.1,5.6,4.4,5.4,Liquid Mutual Funds,33.3456,IDBI Liquid Fund - Liquid Mutual Funds,287
IDBI Midcap Fund,113251,1.62,0.5,-2.9,25.1,7.7,Mid Cap Mutual Funds,2424.2392,IDBI Midcap Fund - Mid Cap Mutual Funds,288
IDBI Nifty 50 Index Fund,113252,0.32,0.5,0.8,25.8,11.8,Index Funds,1017.0054,IDBI Nifty 50 Index Fund - Index Funds,289
IDBI Nifty Next 50 Index Fund,113253,0.32,0.5,-6.1,21.8,6.2,Index Funds,1100.9421,IDBI Nifty Next 50 Index Fund - Index Funds,290
IDBI Short Term Bond Fund,113254,0.28,0.1,4.1,9.4,6.9,Short Duration Funds,1118.4408,IDBI Short Term Bond Fund - Short Duration Funds,291
IDBI Small Cap Fund,114630,1.54,0.5,2.1,38.5,12.6,Small Cap Mutual Funds,17.6686,IDBI Small Cap Fund - Small Cap Mutual Funds,292
IDBI Ultra Short Term Fund,114633,0.25,0.1,5.4,5.1,5.9,Ultra Short Duration Funds,10.0,IDBI Ultra Short Term Fund - Ultra Short Duration Funds,293
IIFL Dynamic Bond Fund,122612,0.27,0.2,3.3,6.0,6.5,Dynamic Bond,21.7729,IIFL Dynamic Bond Fund - Dynamic Bond,294
IIFL Focused Equity Fund,131579,0.9,0.5,4.7,29.2,18.1,Focused Funds,37.7543,IIFL Focused Equity Fund - Focused Funds,295
IIFL Liquid Fund,125337,0.2,0.2,5.5,3.9,4.8,Liquid Mutual Funds,1005.3698,IIFL Liquid Fund - Liquid Mutual Funds,296
Indiabulls Arbitrage Fund,115991,0.58,0.0,4.3,3.3,4.5,Arbitrage Mutual Funds,2469.4443,Indiabulls Arbitrage Fund - Arbitrage Mutual Funds,297
Indiabulls Bluechip Fund,115992,1.27,0.5,2.0,21.3,9.5,Large Cap Mutual Funds,1001.1452,Indiabulls Bluechip Fund - Large Cap Mutual Funds,298
Indiabulls Liquid Fund,115993,0.22,0.1,5.4,4.0,5.2,Liquid Mutual Funds,1002.1398,Indiabulls Liquid Fund - Liquid Mutual Funds,299
Indiabulls Short Term Fund,115994,0.38,0.2,4.4,5.1,5.9,Short Duration Funds,1002.5357,Indiabulls Short Term Fund - Short Duration Funds,300
Indiabulls Tax Savings Fund,115995,0.5,0.5,1.0,22.3,7.8,ELSS Mutual Funds,1001.4024,Indiabulls Tax Savings Fund - ELSS Mutual Funds,301
Indiabulls Value Fund,116424,0.5,0.5,-0.2,25.6,6.3,Value Funds,2021.6434,Indiabulls Value Fund - Value Funds,302
Invesco India Arbitrage Fund,104483,0.38,0.0,6.4,5.0,5.6,Arbitrage Mutual Funds,1001.25,Invesco India Arbitrage Fund - Arbitrage Mutual Funds,303
Invesco India Banking & PSU Debt Fund,104484,0.28,0.2,2.3,5.8,6.4,Banking and PSU Mutual Funds,1002.7594,Invesco India Banking & PSU Debt Fund - Banking and PSU Mutual Funds,304
Invesco India Contra Fund,104485,0.62,0.5,2.8,27.6,12.3,Contra Funds,1018.911,Invesco India Contra Fund - Contra Funds,305
Invesco India Corporate Bond Fund,104486,0.28,0.1,3.7,6.4,6.9,Corporate Bond Mutual Funds,3510.5844,Invesco India Corporate Bond Fund - Corporate Bond Mutual Funds,306
Invesco India Credit Risk Fund,104487,0.28,0.1,4.4,6.0,3.5,Credit Risk Funds,0.0,Invesco India Credit Risk Fund - Credit Risk Funds,307
Invesco India Dynamic Equity Fund,104488,0.95,0.5,3.9,15.4,7.4,Dynamic Asset Allocation or Balanced Advantage,3113.9548,Invesco India Dynamic Equity Fund - Dynamic Asset Allocation or Balanced Advantage,308
Invesco India Financial Services Fund,104489,1.08,0.5,5.9,22.6,10.9,Sectoral / Thematic Mutual Funds,1003.2309,Invesco India Financial Services Fund - Sectoral / Thematic Mutual Funds,309
Invesco India Gilt Fund,104490,0.48,0.1,4.9,4.2,6.7,Gilt Mutual Funds,1000.5785,Invesco India Gilt Fund - Gilt Mutual Funds,310
Invesco India Gold Fund,104491,0.16,0.4,13.2,11.5,13.2,FoFs Domestic,1904.6006,Invesco India Gold Fund - FoFs Domestic,311
Invesco India Growth Opportunities Fund,104492,0.66,0.5,0.8,22.8,11.0,Large & Mid Cap Funds,1004.1992,Invesco India Growth Opportunities Fund - Large & Mid Cap Funds,312
Invesco India Infrastructure Fund,104635,1.08,0.5,8.9,33.2,14.6,Sectoral / Thematic Mutual Funds,24.26,Invesco India Infrastructure Fund - Sectoral / Thematic Mutual Funds,313
